"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"sna","sna","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.7-1",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.11.1",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"snow","snow","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.2.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0-0",NA,"R (>= 3.2.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf, terra, raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"sparseMatrixStats","sparseMatrixStats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10.0",NA,"MatrixGenerics (>= 1.5.3)","Rcpp, Matrix, matrixStats (>= 0.60.0), methods","Rcpp","testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.core","spatstat.core","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4-4",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.4-0), spatstat.random (>= 2.2-0), stats, graphics, grDevices,
utils, methods, nlme, rpart","spatstat.utils (>= 2.3-1), spatstat.sparse (>= 2.0-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), nleqslv, spatstat.linnet (>= 2.0-0), spatstat (>=
2.3-3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.data","spatstat.data","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-1",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"spatstat.explore","spatstat.explore","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2-3",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-1), spatstat.geom (>=
3.2-3), spatstat.random (>= 3.1-4), stats, graphics, grDevices,
utils, methods, nlme","spatstat.utils (>= 3.0-3), spatstat.sparse (>= 3.0-1), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, fftwtools (>=
0.9-8), spatstat.linnet (>= 3.1), spatstat.model (>= 3.2-3),
spatstat (>= 3.0-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.geom","spatstat.geom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2-5",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 3.0-2), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.random, spatstat.explore, spatstat.model,
spatstat.linnet, maptools (>= 0.9-9), spatial, fftwtools (>=
0.9-8), spatstat (>= 3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.random","spatstat.random","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-6",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.2-1), stats, utils, methods, grDevices","spatstat.utils (>= 3.0-2)",NA,"spatial, RandomFields (>= 3.1.24.1), RandomFieldsUtils (>=
0.3.3.1), spatstat.linnet (>= 3.0), spatstat.explore,
spatstat.model, spatstat (>= 3.0), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.sparse","spatstat.sparse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-2",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.utils","spatstat.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-3",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spData","spData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.0",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg,",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"spdep","spdep","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-8",NA,"R (>= 3.3.0), methods, spData (>= 0.2.6.0), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest,
rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"speedglm","speedglm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3-5",NA,"Matrix, MASS, biglm","methods, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"SPIA","SPIA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.50.0",NA,"R (>= 2.14.0), graphics, KEGGgraph","graphics",NA,"graph, Rgraphviz, hgu133plus2.db",NA,"file LICENSE",NA,"yes",NA,NA,"no","4.2.1"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"splus2R","splus2R","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-3",NA,"R (>= 2.7.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"STACAS","STACAS","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 4.0.0)","Seurat(>= 4.0.0), future, future.apply, pbapply, ggridges,
ggplot2",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"statnet.common","statnet.common","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.9.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr, rlang (>= 1.1.1), MASS, Matrix",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.12",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.0"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"SummarizedExperiment","SummarizedExperiment","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.28.0",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.41.5), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), DelayedArray (>= 0.15.10)",NA,"HDF5Array (>= 1.7.5), annotate, AnnotationDbi, hgu95av2.db,
GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene, jsonlite,
rhdf5, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown, RUnit,
testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"SuppDists","SuppDists","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-9.7",NA,"R (>= 3.3.0)",NA,NA,"RcppZiggurat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"survcomp","survcomp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.48.0",NA,"survival, prodlim, R (>= 3.4)","ipred, SuppDists, KernSmooth, survivalROC, bootstrap, grid,
rmeta, stats, graphics",NA,"Hmisc, clinfun, xtable, Biobase, BiocManager",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.5-7","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"survivALL","survivALL","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.3",NA,"R (>= 3.3.0)","survival, survcomp, desiR, ggplot2, cowplot, ggthemes, viridis",NA,"testthat, survsim, broom, readr, pander, magrittr, Biobase,
GGally, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"survivalROC","survivalROC","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.3.1",NA,"R (>= 1.6.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"survminer","survminer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.9",NA,"ggplot2, ggpubr(>= 0.1.6)","grid, gridExtra (>= 2.0), magrittr, maxstat, methods, scales,
survival, stats, broom, dplyr, tidyr, survMisc, purrr, tibble,
rlang, ggtext (>= 0.1.0)",NA,"knitr, flexsurv, cmprsk, markdown, testthat, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"survMisc","survMisc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.6",NA,"survival","graphics, grDevices, stats, utils, knitr, KMsurv, ggplot2,
data.table, zoo, grid, gridExtra, km.ci, xtable",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"sys","sys","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.4.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"systemfonts","systemfonts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tabulizer","tabulizer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.3",NA,NA,"png, rJava, tabulizerjars, tools, utils",NA,"graphics, grDevices, knitr, miniUI, shiny, testthat,
rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"tabulizerjars","tabulizerjars","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,NA,"rJava",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"TCGAbiolinks","TCGAbiolinks","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.26.0",NA,"R (>= 4.0)","downloader (>= 0.4), grDevices, biomaRt, dplyr, graphics,
tibble, GenomicRanges, XML (>= 3.98.0), data.table, jsonlite
(>= 1.0.0), plyr, knitr, methods, ggplot2, stringr (>= 1.0.0),
IRanges, rvest (>= 0.3.0), stats, utils, S4Vectors, R.utils,
SummarizedExperiment (>= 1.4.0), TCGAbiolinksGUI.data (>=
1.15.1), readr, tools, tidyr, purrr, xml2, httr (>= 1.2.1)",NA,"jpeg, png, BiocStyle, rmarkdown, devtools, maftools,
parmigene, c3net, minet, dnet, Biobase, affy, testthat, sesame,
AnnotationHub, ExperimentHub, pathview, clusterProfiler,
Seurat, ComplexHeatmap, circlize, ConsensusClusterPlus, igraph,
supraHex, limma, edgeR, sva, EDASeq, survminer, genefilter,
gridExtra, survival, doParallel, parallel, ggrepel (>= 0.6.3),
scales, grid",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"TCGAbiolinksGUI.data","TCGAbiolinksGUI.data","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.18.0",NA,"R (>= 3.5.0)",NA,NA,"BiocStyle, knitr, rmarkdown, readr, DT",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"utils",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"tensor","tensor","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.0"
"terra","terra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7-46",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet, htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1.10",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 3.4.0), desc, digest, ellipsis
(>= 0.2.0), evaluate, jsonlite, lifecycle, magrittr, methods,
pkgload (>= 1.3.0), praise, processx (>= 3.8.2), ps (>= 1.3.4),
R6 (>= 2.2.0), rlang (>= 1.1.0), utils, waldo (>= 0.5.0), withr
(>= 2.4.3)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"textshaping","textshaping","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.6",NA,"R (>= 3.2.0)","systemfonts (>= 1.0.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"TFisher","TFisher","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,NA,"stats, sn, mvtnorm, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"TH.data","TH.data","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-2",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"trtf, tram, rms, coin, ATR, multcomp, gridExtra, vcd,
colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tictoc","tictoc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2",NA,"R (>= 2.15), methods",NA,NA,"testthat (>= 3.0.0)",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidygraph","tidygraph","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.3",NA,NA,"tibble, dplyr (>= 0.8.5), igraph (>= 1.3.0), magrittr, utils,
rlang, R6, tools, stats, tidyr, pillar, cli","cpp11","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidytree","tidytree","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.5",NA,"R (>= 3.4.0)","ape, dplyr, lazyeval, magrittr, methods, rlang, tibble, tidyr,
tidyselect, yulab.utils (>= 0.0.4), pillar, cli",NA,"knitr, rmarkdown, prettydoc, testthat, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"timechange","timechange","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4022.108",NA,"R (>= 3.6.0)","graphics, utils, stats, methods",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.46",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"TrajectoryUtils","TrajectoryUtils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,"SingleCellExperiment","methods, stats, Matrix, igraph, S4Vectors,
SummarizedExperiment",NA,"BiocNeighbors, DelayedArray, DelayedMatrixStats,
BiocParallel, testthat, knitr, BiocStyle, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"treeio","treeio","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.22.0",NA,"R (>= 3.6.0)","ape, dplyr, jsonlite, magrittr, methods, rlang, tibble,
tidytree (>= 0.3.9), utils",NA,"Biostrings, ggplot2, ggtree, igraph, knitr, rmarkdown,
phangorn, prettydoc, testthat, tidyr, vroom, xml2, yaml, purrr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"triangle","triangle","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0",NA,"R (>= 2.14.1)","assertthat, stats4, methods",NA,"testthat, knitr, rmarkdown, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"triebeard","triebeard","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"TSP","TSP","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-4",NA,"R (>= 3.5.0)","graphics, foreach, utils, stats, grDevices",NA,"maps, doParallel, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.2",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"TxDb.Hsapiens.UCSC.hg19.knownGene","TxDb.Hsapiens.UCSC.hg19.knownGene","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2.2",NA,"GenomicFeatures (>= 1.21.30)","AnnotationDbi",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"uchardet","uchardet","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.1.0)",NA,NA,"tinytest, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"ucminf","ucminf","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.5.0)",NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"units","units","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-3",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"urlchecker","urlchecker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"urltools","urltools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.2",NA,"R (>= 3.6)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload, rmarkdown, roxygen2 (>= 7.1.2),
spelling (>= 1.2), styler (>= 1.2.0), testthat (>= 3.1.8)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.3",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"uwot","uwot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.16",NA,"Matrix","Rcpp, methods, FNN, RcppAnnoy (>= 0.0.17), irlba","Rcpp, RcppProgress, RcppAnnoy, dqrng","testthat, covr, bigstatsr, RSpectra",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
